genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Pseudotabrizicola	Bacteria	4	2469	1	84.19	86.44	0	1	4	0	nan	both coherent	7
Pseudothauera	Bacteria	4	1691	1	78.73	79.88	0	1	4	0	nan	both coherent	5
Pseudothermotoga	Bacteria	5	755	2	64.67	70.17	1	3	5	0	0.2857	both split	4
Pseudovibrio	Bacteria	7	1421	1	66.83	76.85	1	1	7	0	nan	both coherent	8
Pseudoxanthomonas	Bacteria	24	790	1	70.26	74.11	0	2	22	2	0.0	RaGCAn one bin, GTDB splits	24
Psychrobacillus	Bacteria	11	1514	1	75.51	79.27	0	1	10	1	nan	both coherent	12
Psychrobacter	Bacteria	45	660	1	69.88	80.52	10	1	45	0	nan	both coherent	48
Psychroflexus	Bacteria	16	719	2	64.00	72.89	0	1	16	0	0.0	RaGCAn split, GTDB one genus	45
Psychromicrobium	Bacteria	4	1137	1	71.57	76.33	0	1	4	0	nan	both coherent	4
Psychromonas	Bacteria	10	1018	1	69.67	73.89	0	1	10	0	nan	both coherent	60
Psychroserpens	Bacteria	9	1509	1	75.95	79.10	0	1	8	1	nan	both coherent	9
Psychrosphaera	Bacteria	6	541	2	62.57	69.49	0	1	6	0	0.0	RaGCAn split, GTDB one genus	5
Pyrobaculum	Archaea	7	1063	1	70.83	74.49	1	1	6	1	nan	both coherent	48
Pyrococcus	Archaea	6	924	1	74.12	78.33	1	1	6	0	nan	both coherent	44
Pyrodictium	Archaea	4	1198	1	74.91	80.82	1	1	3	1	nan	both coherent	4
Pyxidicoccus	Bacteria	5	5026	1	81.76	83.66	0	1	5	0	nan	both coherent	21
Qipengyuania	Bacteria	40	635	1	65.89	75.87	2	6	37	3	0.0	RaGCAn one bin, GTDB splits	41
Rahnella	Bacteria	15	2983	1	89.86	92.29	18	1	15	0	nan	both coherent	166
Ralstonia	Bacteria	18	2290	1	84.23	89.47	15	1	17	1	nan	both coherent	31
Ramlibacter	Bacteria	19	758	1	68.93	73.83	0	1	18	1	nan	both coherent	34
Rathayibacter	Bacteria	12	597	2	62.60	80.66	1	2	12	0	1.0	both split	41
Reichenbachiella	Bacteria	6	1010	2	63.80	68.08	0	1	6	0	0.0	RaGCAn split, GTDB one genus	7
Reinekea	Bacteria	5	868	2	64.92	66.97	0	1	5	0	0.0	RaGCAn split, GTDB one genus	5
Reyranella	Bacteria	4	3229	1	77.37	81.81	0	1	4	0	nan	both coherent	8
Rheinheimera	Bacteria	24	985	1	65.70	74.07	0	2	23	1	0.0	RaGCAn one bin, GTDB splits	30
Rhizobacter	Bacteria	4	1106	1	65.86	68.27	0	3	3	1	0.0	RaGCAn one bin, GTDB splits	6
Rhizobium	Bacteria	75	2	3	51.56	76.51	25	9	70	5	0.0	RaGCAn one bin, GTDB splits	505
Rhizorhabdus	Bacteria	6	1637	1	75.26	78.94	0	1	6	0	nan	both coherent	8
Rhodanobacter	Bacteria	19	1254	1	74.42	79.67	0	2	17	2	0.0	RaGCAn one bin, GTDB splits	18
Rhodobacter	Bacteria	10	860	1	66.09	73.68	0	3	9	1	0.0	RaGCAn one bin, GTDB splits	53
Rhodococcoides	Bacteria	6	1558	1	69.77	74.45	0	1	6	0	nan	both coherent	8
Rhodococcus	Bacteria	50	533	2	62.08	72.10	13	6	43	7	0.0304	both split	248
Rhodoferax	Bacteria	12	769	1	67.64	72.25	0	4	12	0	0.0	RaGCAn one bin, GTDB splits	52
Rhodohalobacter	Bacteria	4	1185	1	66.63	70.07	0	1	4	0	nan	both coherent	4
Rhodopirellula	Bacteria	6	1368	2	63.41	78.10	0	2	6	0	1.0	both split	10
Rhodoplanes	Bacteria	5	2709	1	79.62	83.58	0	1	5	0	nan	both coherent	9
Rhodopseudomonas	Bacteria	10	402	2	54.70	74.49	0	4	8	2	0.3125	both split	36
Rhodovulum	Bacteria	13	1237	1	72.27	78.42	3	1	13	0	nan	both coherent	71
Rickettsia	Bacteria	28	522	1	78.85	89.81	64	1	26	2	nan	both coherent	10
Robertkochia	Bacteria	5	1242	1	68.66	71.56	0	1	5	0	nan	both coherent	5
Robertmurraya	Bacteria	9	1384	1	68.49	73.89	0	2	9	0	0.0	RaGCAn one bin, GTDB splits	10
Robiginitalea	Bacteria	8	1228	1	69.03	72.29	0	1	6	2	nan	both coherent	6
Rodentibacter	Bacteria	10	1294	1	84.65	88.30	0	1	10	0	nan	both coherent	76
Romboutsia	Bacteria	8	925	1	70.24	73.33	0	7	8	0	0.0	RaGCAn one bin, GTDB splits	7
Roseateles	Bacteria	23	797	1	67.94	72.31	0	11	23	0	0.0	RaGCAn one bin, GTDB splits	45
Roseburia	Bacteria	11	341	3	60.38	67.19	0	6	11	0	0.3304	both split	8
Roseibium	Bacteria	18	1214	1	68.42	72.93	0	1	18	0	nan	both coherent	30
Roseicyclus	Bacteria	7	1545	1	73.90	77.51	0	2	7	0	0.0	RaGCAn one bin, GTDB splits	7
Roseinatronobacter	Bacteria	6	1492	1	72.85	77.86	0	1	6	0	nan	both coherent	6
Roseivirga	Bacteria	7	1275	1	66.83	71.87	1	1	7	0	nan	both coherent	8
Roseivivax	Bacteria	7	1463	1	70.98	74.70	0	1	7	0	nan	both coherent	7
Roseixanthobacter	Bacteria	5	3022	1	87.56	90.78	0	1	5	0	nan	both coherent	8
Rosenbergiella	Bacteria	6	2047	1	85.63	88.94	1	1	6	0	nan	both coherent	5
Roseobacter	Bacteria	10	1761	1	74.95	77.49	0	1	9	1	nan	both coherent	103
Roseococcus	Bacteria	4	1952	1	72.36	84.01	2	1	4	0	nan	both coherent	6
Roseofilum	Bacteria	5	2175	1	74.18	82.33	0	1	5	0	nan	both coherent	7
Roseomonas	Bacteria	16	698	2	63.88	69.02	0	4	16	0	0.6418	both split	64
Roseospira	Bacteria	4	1741	1	72.64	75.50	0	1	4	0	nan	both coherent	5
Roseovarius	Bacteria	40	761	1	68.09	72.60	0	1	39	1	nan	both coherent	68
Rossellomorea	Bacteria	9	1449	1	67.63	75.93	0	1	9	0	nan	both coherent	9
Rothia	Bacteria	17	393	2	62.38	68.29	2	1	16	1	0.0	RaGCAn split, GTDB one genus	29
Rouxiella	Bacteria	4	2649	1	84.09	86.05	0	1	4	0	nan	both coherent	6
Ruania	Bacteria	7	1271	1	69.48	76.61	0	1	7	0	nan	both coherent	9
Rubellimicrobium	Bacteria	6	1026	1	71.46	76.72	0	1	6	0	nan	both coherent	7
Rubripirellula	Bacteria	5	1352	1	67.30	70.42	0	1	5	0	nan	both coherent	9
Rubritalea	Bacteria	5	893	1	65.84	69.88	0	1	5	0	nan	both coherent	5
Rubrivirga	Bacteria	4	1258	1	70.97	75.52	0	1	4	0	nan	both coherent	5
Rubrivivax	Bacteria	4	1375	1	68.94	73.77	0	1	4	0	nan	both coherent	5
Rubrobacter	Bacteria	9	481	4	62.59	66.63	0	7	9	0	0.3415	both split	7
Ruegeria	Bacteria	22	1617	1	72.79	78.36	0	3	21	1	0.0	RaGCAn one bin, GTDB splits	32
Rufibacter	Bacteria	14	1831	1	76.09	80.92	2	1	13	1	nan	both coherent	17
Rugamonas	Bacteria	7	2455	1	77.21	81.65	1	1	7	0	nan	both coherent	12
Ruminiclostridium	Bacteria	7	1136	1	69.53	73.71	0	1	7	0	nan	both coherent	9
Ruminococcus	Bacteria	11	73	9	48.56	54.21	0	7	9	2	0.3571	both split	7
Runella	Bacteria	7	2656	1	76.18	81.71	3	1	7	0	nan	both coherent	12
Saccharibacillus	Bacteria	7	2616	1	82.13	84.34	1	1	7	0	nan	both coherent	11
Saccharolobus	Archaea	4	1706	1	75.19	83.66	0	1	4	0	nan	both coherent	4
Saccharomonospora	Bacteria	11	1289	1	73.55	77.94	0	2	11	0	0.0	RaGCAn one bin, GTDB splits	12
Saccharopolyspora	Bacteria	37	1124	1	70.47	76.52	4	3	35	2	0.0	RaGCAn one bin, GTDB splits	139
Saccharospirillum	Bacteria	4	1617	1	70.34	74.28	0	1	4	0	nan	both coherent	5
Saccharothrix	Bacteria	24	1846	1	74.88	80.53	0	1	21	3	nan	both coherent	187
Salegentibacter	Bacteria	15	1423	1	73.19	80.84	1	2	13	2	0.0	RaGCAn one bin, GTDB splits	79
Salibacterium	Bacteria	5	1745	1	71.96	79.12	0	1	5	0	nan	both coherent	5
Salicibibacter	Bacteria	4	2067	1	85.12	86.19	0	1	4	0	nan	both coherent	5
Salimicrobium	Bacteria	6	1858	1	79.33	87.24	6	1	6	0	nan	both coherent	5
Salinarimonas	Bacteria	4	1617	1	65.96	76.21	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	6
Salinibacter	Bacteria	4	2133	1	85.10	88.02	0	1	4	0	nan	both coherent	5
Salinicoccus	Bacteria	14	937	1	67.20	75.36	2	2	12	2	0.0	RaGCAn one bin, GTDB splits	8
Salinicola	Bacteria	14	1755	1	78.63	82.89	2	1	13	1	nan	both coherent	16
Salinigranum	Archaea	4	1960	1	77.68	79.74	0	1	4	0	nan	both coherent	84
Salinimicrobium	Bacteria	14	1431	1	73.56	78.24	0	1	13	1	nan	both coherent	11
Salinimonas	Bacteria	6	1663	1	73.32	76.76	0	1	6	0	nan	both coherent	6
Salinisphaera	Bacteria	6	1011	1	68.20	72.24	0	1	5	1	nan	both coherent	6
Salinispora	Bacteria	9	2713	1	86.13	90.87	0	1	8	1	nan	both coherent	11
Salinivibrio	Bacteria	6	1729	1	84.96	89.92	3	1	5	1	nan	both coherent	6
Salipaludibacillus	Bacteria	5	1484	1	68.12	71.99	0	1	5	0	nan	both coherent	6
Salipiger	Bacteria	11	1500	1	71.88	75.98	0	1	11	0	nan	both coherent	15
Sandarakinorhabdus	Bacteria	6	1080	1	68.14	75.05	0	1	6	0	nan	both coherent	5
Sanguibacter	Bacteria	9	693	1	65.85	73.04	1	2	9	0	0.0	RaGCAn one bin, GTDB splits	7
Scandinavium	Bacteria	5	3200	1	91.26	94.43	6	1	5	0	nan	both coherent	7
Schaalia	Bacteria	13	380	2	64.34	69.11	0	1	13	0	0.0	RaGCAn split, GTDB one genus	28
Scytonema	Bacteria	4	1803	1	67.06	77.18	0	2	4	0	0.0	RaGCAn one bin, GTDB splits	9
Secundilactobacillus	Bacteria	16	602	1	65.06	75.11	1	1	14	2	nan	both coherent	44
Sedimentitalea	Bacteria	5	1953	1	76.10	77.98	0	1	5	0	nan	both coherent	6
Sediminibacillus	Bacteria	5	2000	1	72.90	80.51	0	2	5	0	0.0	RaGCAn one bin, GTDB splits	6
Sediminibacterium	Bacteria	7	994	1	68.00	71.18	0	1	7	0	nan	both coherent	6
Segatella	Bacteria	15	531	1	65.40	70.83	0	1	13	2	nan	both coherent	37
Selenomonas	Bacteria	4	709	2	63.71	68.20	0	3	4	0	0.5714	both split	4
Seonamhaeicola	Bacteria	5	1599	1	78.33	80.55	0	1	4	1	nan	both coherent	6
Serinicoccus	Bacteria	7	1531	1	77.19	81.79	0	1	7	0	nan	both coherent	6
Serratia	Bacteria	25	1139	1	76.14	87.08	32	5	25	0	0.0	RaGCAn one bin, GTDB splits	94
Shewanella	Bacteria	105	385	1	65.28	72.63	46	1	103	2	nan	both coherent	410
Shigella	Bacteria	4	2819	1	97.89	98.36	6	2	4	0	0.0	RaGCAn one bin, GTDB splits	6
Shimia	Bacteria	13	932	1	65.15	73.10	0	4	13	0	0.0	RaGCAn one bin, GTDB splits	60
Shinella	Bacteria	13	2021	1	78.51	84.55	1	1	13	0	nan	both coherent	28
