# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Chloracidobacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chloracidobacterium,Chloracidobacterium
A	Chloroflexus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Chroococcidiopsis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chroococcidiopsis,Chroococcidiopsis
A	Chryseolinea	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Chryseomicrobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Chryseosolibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chryseosolibacter,Chryseosolibacter
A	Chthonobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Chthonobacter,Chthonobacter
A	Citrifermentans	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Geomonas,Geomonas
A	Claveliimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Claveliimonas,Claveliimonas
A	Cloacibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Cloacibacillus,Cloacibacillus
A	Cloacibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Cobetia	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Cobetia,Cobetia
A	Cognataquiflexum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Cognaticolwellia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Cognatishimia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Cognatiyoonia	Bacteria	3	3	1	1	2	missed	0.0	
A	Conchiformibius	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Conchiformibius,Conchiformibius
A	Conexibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Congregibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Consotaella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Consotaella,Consotaella
A	Convivina	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Convivina,Convivina
A	Conyzicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Conyzicola,Conyzicola
A	Coprobacter	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Coprobacter,Coprobacter
A	Coprothermobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Coprothermobacter,Coprothermobacter
A	Coralloluteibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Coralloluteibacterium,Coralloluteibacterium
A	Couchioplanes	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Actinoplanes,Actinoplanes
A	Coxiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Coxiella,Coxiella
A	Crassaminicella	Bacteria	3	3	1	1	2	missed	0.0	
A	Crateriforma	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Crateriforma,Crateriforma
A	Cribrihabitans	Bacteria	3	3	1	1	2	missed	0.0	
A	Croceivirga	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Crocinitomix	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Crocinitomix,Crocinitomix
A	Crocosphaera	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Crossiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Crossiella,Crossiella
A	Crystallibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Cumulibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Cumulibacter,Cumulibacter
A	Cuniculiplasma	Archaea	2	1	2			not scored; fewer than two GTDB-classified genomes		
A	Cyanobium	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Cyanobium,Cyanobium_A
A	Cylindrospermopsis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Raphidiopsis,Raphidiopsis
A	Cypionkella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Cysteiniphilum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Cytophaga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Cytophaga,Cytophaga
A	Daejeonella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Dapis	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Dasania	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Dasania,Dasania
A	Dawidia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ohtaekwangia,Ohtaekwangia
A	Deferrisoma	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
